,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
DVN,0.30385487528344673,0.11791383219954649,0.5374149659863946,0.7098520023690092,0.9909297052154196,0.9909297052154196,0.9727891156462585,0.36281179138321995,0.011337868480725623,0.11791383219954649,0.6281179138321995,0.8185941043083901,0.37656352407779375
DXCM,0.46712018140589573,0.891156462585034,0.8843537414965986,,0.013605442176870739,0.013605442176870746,0.8662131519274376,0.05215419501133787,0.929705215419501,0.891156462585034,0.653061224489796,0.5487528344671202,0.6734921164483726
FANG,0.5396825396825397,0.04081632653061225,0.528344671201814,0.8617140693255434,0.959183673469386,0.9591836734693877,0.9773242630385488,0.9614512471655329,0.031746031746031744,0.04081632653061225,0.45351473922902424,0.6507936507936508,0.20127771388275595
DLR,0.655328798185941,0.39909297052154197,0.4308390022675737,0.6685082872928176,0.2698412698412698,0.2698412698412698,0.2811791383219955,0.7891156462585038,0.9795918367346939,0.39909297052154197,0.018140589569160998,0.036281179138321996,0.5487701065192127
DFS,0.6077097505668935,0.3877551020408163,0.6496598639455782,0.34467120181405897,0.6439909297052155,0.6439909297052155,0.8571428571428572,0.8503401360544218,0.05668934240362812,0.3877551020408163,0.7324263038548753,0.25170068027210885,0.5213252173951266
DG,0.2811791383219955,0.3945578231292537,0.015873015873015872,0.5952380952380952,0.5736961451247166,0.5736961451247166,0.29705215419501135,0.528344671201814,0.32199546485260777,0.3945578231292537,0.47392290249433144,0.34240362811791386,0.8726641032836789
DLTR,0.2290249433106576,0.6054421768707483,0.35374149659863946,,0.8321995464852598,0.8321995464852607,0.7619047619047616,0.29478458049886624,0.31746031746031744,0.6054421768707483,0.5532879818594104,0.41496598639455784,0.8436603155144836
D,0.5986394557823129,0.20408163265306123,0.15192743764172337,0.9183673469387755,0.8231292517006803,0.8231292517006803,0.05215419501133787,0.5011337868480725,0.4489795918367347,0.20408163265306123,0.1564625850340136,0.19727891156462588,0.7455636497209301
DASH,0.7414965986394558,0.8049886621315193,0.9546485260770975,,0.0022675736961451248,0.0022675736961451248,0.9977324263038548,0.326530612244898,0.9863945578231292,0.8049886621315193,0.05668934240362812,0.07256235827664399,0.03604608495155822
DOV,0.35147392290249435,0.4852607709750567,0.7585034013605443,0.256514073519316,0.24263038548752835,0.24263038548752835,0.19954648526077098,0.7188208616780045,0.5124716553287981,0.4852607709750567,0.5192743764172333,0.6031746031746031,0.2679923943987478
DOW,0.29705215419501135,0.08616780045351474,0.42403628117913833,1.0,0.891156462585034,0.891156462585034,0.6099773242630385,0.3832199546485261,0.9365079365079372,0.08616780045351474,0.020408163265306124,0.10204081632653061,0.6358612229541419
DHI,0.5147392290249433,0.14965986394557823,0.8956916099773243,0.2789595386814811,0.17913832199546487,0.17913832199546487,0.7687074829931972,0.8707482993197279,0.034013605442176874,0.14965986394557823,0.5328798185941168,0.8276643990929705,0.15173031226050374
DTE,0.40816326530612246,0.34467120181405897,0.09070294784580499,0.7044198895027625,0.8707482993197275,0.8707482993197279,0.05895691609977324,0.7596371882086168,0.3401360544217687,0.34467120181405897,0.40589569160997735,0.2108843537414966,0.8427282275312408
DUK,0.782312925170068,0.22448979591836735,0.045351473922902494,0.7645577521936824,0.8027210884353742,0.8027210884353742,0.018140589569160998,0.8140589569160998,0.3945578231292517,0.22448979591836735,0.24943310657596374,0.19501133786848074,0.7998926585601591
DD,0.40362811791383224,0.07709750566893424,0.5555555555555556,0.5952380952380952,0.46031746031746035,0.46031746031746035,0.5238095238095238,0.7392290249433107,1.0,0.07709750566893424,0.0045351473922902496,0.2698412698412698,0.19904723252937537
EMN,0.034013605442176874,0.1360544217687075,0.7981859410430839,0.8922902494331066,0.6825396825396826,0.6825396825396826,0.5374149659863946,0.7029478458049887,0.04308390022675737,0.1360544217687075,0.4852607709750567,0.546485260770975,0.5897805393175534
ETN,0.8321995464852603,0.7142857142857143,0.6326530612244898,0.3175755062547515,0.3310657596371882,0.3310657596371882,0.3106575963718821,0.671201814058957,0.6938775510204082,0.7142857142857143,0.6235827664399093,0.7097505668934241,0.3574994973894156
EBAY,0.4580498866213152,0.7097505668934241,0.7755102040816326,0.3950276243093923,0.09977324263038549,0.09977324263038549,0.653061224489796,0.13378684807256236,0.2630385487528345,0.7097505668934241,0.8163265306122449,0.6145124716553289,0.7433655936601445
ECL,0.7188208616780045,0.8435374149659864,0.5453514739229025,0.20294784580498865,0.14285714285714285,0.14285714285714285,0.34240362811791386,0.3764172335600907,0.7482993197278912,0.8435374149659864,0.6621315192743764,0.7006802721088435,0.6422661018430361
EIX,0.3106575963718821,0.12018140589569161,0.28004535147392295,0.9665471923536441,0.7120181405895691,0.7120181405895691,0.17460317460317462,0.5918367346938775,0.018140589569160998,0.12018140589569161,0.46258503401360546,0.18820861678004536,0.8591635687240426
EW,0.5578231292517007,0.5736961451247166,0.6281179138321991,,0.4217687074829932,0.4217687074829932,0.4943310657596372,0.2653061224489796,0.6689342403628118,0.5736961451247166,0.5034013605442177,0.7596371882086168,0.0407860543151764
EA,0.5374149659863945,0.6916099773242628,0.2698412698412698,0.04106913035484464,0.7505668934240363,0.7505668934240363,0.30839002267573695,0.4036281179138323,0.780045351473923,0.6916099773242628,0.4897959183673469,0.7120181405895691,0.1704598631376691
ELV,0.7777777777777777,0.30158730158730157,0.21541950113378686,0.3854875283446712,0.8616780045351474,0.8616780045351474,0.40816326530612246,0.9841269841269842,0.2199546485260771,0.30158730158730157,0.4421768707482993,0.4557823129251699,0.462620807213308
EMR,0.691609977324263,0.48072562358276644,0.7437641723356009,0.4530386740331492,0.6077097505668935,0.6077097505668935,0.36054421768707484,0.5374149659863946,0.7029478458049887,0.48072562358276644,0.18594104308390022,0.4217687074829932,0.5326773602638597
ENPH,0.006802721088435375,0.780045351473923,0.981859410430839,,0.12698412698412698,0.12698412698412698,0.9931972789115646,0.06349206349206349,0.8798185941043084,0.780045351473923,0.5238095238095238,0.22675736961451243,0.7688624476953176
ETR,0.5011337868480725,0.34240362811791386,0.17913832199546487,0.655328798185941,0.8344671201814059,0.8344671201814059,0.11111111111111112,0.5532879818594104,0.6054421768707483,0.34240362811791386,0.20861678004535147,0.2290249433106576,0.8482447037613139
EOG,0.6689342403628118,0.2879818594104308,0.29931972789115646,0.7936507936507937,0.9773242630385488,0.9773242630385488,0.9138321995464853,0.7278911564625851,0.06575963718820863,0.2879818594104308,0.6258503401360545,0.8412698412698413,0.0959101301193937
EPAM,0.049886621315192746,0.40816326530612246,0.9682539682539683,,0.015873015873015872,0.015873015873015872,0.9750566893424036,0.8095238095238095,0.4943310657596372,0.40816326530612246,0.3492063492063491,0.7324263038548753,0.022226758400564133
EQT,0.47392290249433106,0.15419501133786848,0.17006802721088435,0.2471655328798186,1.0,1.0,0.9682539682539683,0.546485260770975,0.9569160997732427,0.15419501133786848,0.022675736961451247,0.05895691609977324,0.20599066094681304
EFX,0.48072562358276644,0.7256235827664399,0.9501133786848073,0.12707182320441987,0.11337868480725624,0.11337868480725623,0.5419501133786848,0.6031746031746031,0.909297052154195,0.7256235827664399,0.380952380952381,0.5215419501133787,0.614405270841768
EQIX,0.7528344671201814,0.6848072562358277,0.4399092970521542,0.4875283446712018,0.30612244897959184,0.30612244897959184,0.3786848072562358,0.9659863945578231,0.9546485260770975,0.6848072562358277,0.1360544217687075,0.24489795918367346,0.7312354343647381
EQR,0.3945578231292517,0.35374149659863946,0.39909297052154197,0.8421533680650763,0.4489795918367347,0.4489795918367347,0.45351473922902497,0.46938775510204084,0.6009070294784581,0.35374149659863946,0.21541950113378686,0.16780045351473924,0.46085720298762634
ERIE,0.23582766439909297,0.7981859410430839,0.04081632653061225,0.35487528344671204,0.40816326530612246,0.40816326530612246,0.25170068027210885,0.5963718820861678,0.6575963718820862,0.7981859410430839,0.780045351473923,0.9455782312925171,0.002285208033285546
ESS,0.2562358276643991,0.4761904761904762,0.30158730158730157,0.7936507936507937,0.30385487528344673,0.30385487528344673,0.4217687074829932,0.9047619047619048,0.6099773242630385,0.4761904761904762,0.3900226757369615,0.1927437641723356,0.6814192319170795
EG,0.14965986394557823,0.04308390022675737,0.16099773242630386,0.5393694355958506,0.7233560090702948,0.7233560090702948,0.41723356009070295,0.9931972789115646,0.3129251700680272,0.04308390022675737,0.09750566893424037,0.05442176870748299,0.1404560052702569
EVRG,0.16099773242630386,0.14285714285714285,0.11791383219954649,0.8204419889502761,0.7482993197278912,0.7482993197278912,0.08390022675736962,0.6439909297052165,0.3106575963718821,0.14285714285714285,0.2199546485260771,0.20861678004535147,0.7364735041756812
ES,0.3378684807256236,0.13151927437641725,0.19727891156462585,0.9183673469387755,0.7709750566893424,0.7709750566893423,0.06575963718820863,0.6281179138321996,0.6190476190476191,0.13151927437641725,0.08616780045351474,0.23696145124716556,0.8321903089297632
EXC,0.5804988662131519,0.17460317460317462,0.12244897959183673,0.7687074829931972,0.9274376417233551,0.927437641723356,0.09523809523809525,0.4331065759637188,0.2675736961451247,0.17460317460317462,0.28004535147392295,0.18480725623582767,0.8118912101073696
EXPE,0.2766439909297052,0.8752834467120182,0.9387755102040817,0.1846959224571592,0.18820861678004536,0.18820861678004536,0.9251700680272118,0.17006802721088435,0.30839002267573695,0.8752834467120182,0.9070294784580492,0.35600907029478457,0.9113672866406837
EXPD,0.15419501133786848,0.7120181405895691,0.5895691609977325,0.3356009070294785,0.39909297052154197,0.39909297052154197,0.18594104308390022,0.25170068027210885,0.326530612244898,0.7120181405895691,0.8208616780045351,0.9251700680272111,0.14561808919385427
EXR,0.4625850340136057,0.3287981859410431,0.6553287981859413,0.8873757025507997,0.41950113378684806,0.41950113378684806,0.36281179138321995,0.8299319727891157,0.7528344671201814,0.3287981859410431,0.108843537414966,0.2675736961451247,0.5976686066891134
XOM,0.963718820861678,0.19954648526077098,0.09750566893424037,0.8117913832199546,0.9727891156462586,0.9727891156462585,0.6961451247165533,0.7868480725623583,0.17687074829931973,0.19954648526077098,0.4467120181405896,0.5668934240362812,0.07708521378244534
