,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
HUBB,19039074304,5.8377247,0.965,1.5,0.29415771065761287,0.8202247191011236,0.27439921450028953,61.106,24.102703,5.8377247,0.25917,0.10069,61.442
HUM,30116524032,1.6966174,0.499,1.4,-0.24546300165746116,0.017977528089887642,0.28774828803308306,147.075,17.60974,1.6966174,0.10099,0.047220003,77.075
HBAN,22172647424,1.2021167,0.917,4.14,0.2432344026132051,0.7685393258426966,0.37715529888655863,12.661,11.707693,1.2021167,0.103719994,0.01026,
HII,9088953344,1.9042256,0.303,2.35,0.06667404852838545,0.3752808988764045,0.2641129616682191,121.64,16.68804,1.9042256,0.12271,0.036259998,71.36
IBM,231605731328,8.616278,0.629,2.65,0.06232655057783887,0.3595505617977528,0.2315302276807581,28.922,42.59829,8.616278,0.21851,0.044689998,247.978
IEX,13860167680,3.5552068,1.062,1.53,0.02825985740680147,0.26292134831460673,0.22837146229325592,51.606,29.122221,3.5552068,0.12724,0.06898,50.344
IDXX,39543451648,27.417196,1.525,,0.05712503742468385,0.3393258426966292,0.3366217346920167,17.934,45.52778,27.417196,0.59330004,0.22982,73.159
ITW,71141261312,21.923878,1.139,2.5,0.0009033673953539131,0.2157303370786517,0.2168230461972337,11.061,21.328056,21.923878,1.07584,0.16544001,254.874
INCY,11416758272,3.1163478,0.68,,0.08207580183932431,0.41797752808988764,0.2902566802577351,18.926,294.9,3.1163478,0.0046900003,0.020350002,1.176
IR,32002684928,3.0520604,1.42,0.1,0.26109065246679924,0.7910112359550562,0.30427209979332587,25.989,39.267326,3.0520604,0.081099994,0.05392,46.107
PODD,21859301376,17.999422,1.266,,-0.040562686115026204,0.12134831460674157,0.4488280618356153,17.26,53.656307,17.999422,0.37917998,0.06937,131.457
ICE,102294724608,3.659177,1.134,1.09,0.18208191334850943,0.6629213483146067,0.21517583108963886,48.735,36.84504,3.659177,0.10421,0.020869998,73.534
IP,23369070592,1.070539,0.987,4.2,0.2631562193871659,0.797752808988764,0.29669043297931547,41.353,37.83761,1.070539,0.03006,0.0154,57.086
IPG,9287743488,2.5945053,1.081,5.28,0.019053087716009245,0.24269662921348314,0.3195137827794699,9.682,19.175573,2.5945053,0.13577,0.051220004,113.87
INTU,182799990784,10.19092,1.24,0.65,-0.004536034815150705,0.19550561797752808,0.3486023002463166,64.163,61.053223,10.19092,0.17424999,0.08257,
ISRG,192294830080,11.24052,1.702,,0.29925360349237967,0.8314606741573034,0.33221114013065484,47.73,78.78268,11.24052,0.15958,0.08841,
IVZ,6637255680,0.62099576,1.434,5.86,0.1258847333099733,0.5303370786516854,0.4073224928546938,23.881,11.864,0.62099576,0.05092,0.02438,6.111
INVH,21312237568,2.1927223,0.863,3.32,0.05738583460698706,0.3438202247191011,0.24829211261120326,15.857,44.576927,2.1927223,0.048070002,0.023740001,83.399
IQV,25775271936,4.3398094,1.347,,0.011069570526035513,0.2247191011235955,0.2904675045964128,34.331,20.326057,4.3398094,0.2164,0.052950002,242.907
JBHT,13443844096,3.4768221,1.333,1.32,-0.12885565149911107,0.058426966292134834,0.2890807566007364,38.981,24.641817,3.4768221,0.13971,0.061100002,49.659
JBL,16528983040,12.420746,1.113,0.21,0.017840683048792716,0.23820224719101124,0.36068905050481115,12.397,34.68018,12.420746,0.24104,0.0461,242.489
J,14750350336,3.8240607,0.765,1.07,0.08720584896169631,0.4337078651685393,0.2598218311804616,32.102,40.514854,3.8240607,0.06804,0.05056,66.356
JNJ,371064111104,4.749761,0.411,3.31,-0.0297099459757605,0.15280898876404495,0.16311864128581782,32.469,17.135555,4.749761,0.29447,0.0777,66.896
JCI,60679974912,3.8207662,1.298,1.65,0.37439325707160853,0.9213483146067416,0.273536413174417,24.058,43.154926,3.8207662,0.13137001,0.04844,65.788
JPM,703332089856,2.1224778,1.068,2.25,0.3086173979849002,0.8426966292134831,0.2673694094384793,119.238,12.418057,2.1224778,0.17352,0.01413,
JNPR,12150968320,2.5087996,0.815,2.42,0.26126792844408686,0.7932584269662921,0.2785694576248876,14.489,34.61905,2.5087996,0.07579,0.02908,39.332
K,28615530496,7.309465,0.309,2.76,0.16217045545778394,0.6269662921348315,0.19985081321124332,11.284,20.77582,7.309465,0.38149,0.081199996,155.528
KVUE,46892785664,4.837688,0.974,3.55,-0.03892523394252881,0.12808988764044943,0.2520192588207605,5.052,45.25926,4.837688,0.10216,0.06771,88.043
KDP,45553692672,1.8633333,0.527,2.7,0.1036431977508802,0.47191011235955055,0.19156939820964727,18.0,30.49091,1.8633333,0.06126,0.04058,76.418
KEYS,26633631744,5.1345944,1.107,,0.008241924514077353,0.22247191011235956,0.28960016227433955,30.016,44.034283,5.1345944,0.122150004,0.05746,38.944
KMB,44148121600,40.099457,0.372,3.77,0.1116708052269903,0.4898876404494382,0.18394595086272134,3.318,18.151434,40.099457,2.0706,0.115430005,595.098
KIM,14084646912,1.3361571,1.282,4.84,0.0400592745452381,0.298876404494382,0.3791848690550229,15.582,27.394737,1.3361571,0.05208,0.02163,75.54
KMI,60703846400,1.982865,0.739,4.24,0.14589483054213345,0.5887640449438202,0.2516361948366319,13.773,23.543104,1.982865,0.0845,0.03728,103.99
KKR,108966469632,4.43443,1.913,0.64,0.3650442556359839,0.9146067415730337,0.3591395146508433,26.628,36.0,4.43443,0.07145,0.01263,74.627
KLAC,92727394304,23.15414,1.397,0.98,0.3906281712176195,0.9258426966292135,0.4043167934299881,30.284,25.498182,23.15414,1.04097,0.19229001,152.049
KHC,33221965824,0.6753603,0.268,5.67,0.011156753903473857,0.22696629213483147,0.22518984783571377,41.563,12.817351,0.6753603,0.0535,0.037520003,43.55
KR,47498452992,5.8250933,0.613,1.77,0.18517676946037975,0.6719101123595506,0.27733497373153604,12.338,19.583107,5.8250933,0.26879,0.056339998,229.201
LHX,41014083584,2.151283,0.717,2.2,0.1942562867683529,0.6943820224719102,0.24821930388798602,101.981,25.994078,2.151283,0.085209996,0.04059,64.046
LH,20567601152,2.478766,0.805,1.17,-0.09469299983281898,0.07191011235955057,0.2413024590713263,99.134,28.309906,2.478766,0.08981,0.0418,79.126
LRCX,96394485760,10.165925,1.653,1.23,0.31327564290835075,0.851685393258427,0.4306520140310207,7.413,20.991644,10.165925,0.53138,0.17291,47.148
LW,7172926464,4.390981,0.455,2.91,-0.11982857595468416,0.06741573033707865,0.33071465255812976,11.576,19.933334,4.390981,0.2164,0.07366,261.312
