,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,DividendYield,52WeekChange,Momentum_6m,Volatility,Return_6m
PH,24.013273,6.64868,0.25852,0.08776,68.875,1.383,80362881024,1.19,0.13790143,-0.009711660909250242,0.3482680995151185,-0.009711660909250242
PAYX,31.033266,13.060636,0.44254002,0.11643,20.981,0.879,53765713920,2.67,0.22073269,0.05914713177333186,0.22796629773112775,0.05914713177333186
PAYC,25.715004,7.9507995,0.34874,0.064229995,5.292,0.973,12991347712,0.66,0.32582176,0.3729186858923452,0.41022329351009307,0.3729186858923452
PNR,23.954782,4.1976457,0.1859,0.08545999,53.77,1.13,15252476928,1.1,0.13980651,-0.0578997510679492,0.30833176760846864,-0.0578997510679492
PEP,19.7125,10.008587,0.49927,0.08858,261.849,0.503,183786405888,4.06,-0.24183935,-0.18772517871562022,0.1963294481507362,-0.18772517871562022
PCG,15.43578,1.2703866,0.08257,0.024260001,193.839,0.703,36975968256,0.6,-0.051223695,-0.1597501958397468,0.2601418772597356,-0.1597501958397468
PSX,23.668941,1.5705248,0.0656,0.009509999,66.317,1.157,42817597440,4.64,-0.27957666,-0.12837735543314377,0.334972744918585,-0.12837735543314377
POOL,27.94508,9.065245,0.31651,0.098050006,108.75,1.129,11209911296,1.69,-0.18730289,-0.16257922720262497,0.323332845650776,-0.16257922720262497
PPG,19.455753,3.6023269,0.1765,0.06301,111.012,1.151,24950228992,2.5,-0.18168825,-0.13648269067872965,0.2674213391958911,-0.13648269067872965
PPL,26.955223,1.8671491,0.07018,0.029719999,121.312,0.671,26702215168,3.02,0.2844429,0.14915109810585436,0.17503497428037418,0.14915109810585436
PFG,16.22591,1.5197858,0.09733,0.0027599998,38.2,1.014,16988073984,4.1,-0.08792019,-0.08511979718752682,0.28610227484198547,-0.08511979718752682
PG,25.577776,7.3372188,0.30294,0.10977,64.975,0.419,377799147520,2.64,-0.027240694,-0.02351235903682547,0.18900101963587262,-0.02351235903682547
PGR,18.910654,5.677829,0.34338,0.06865,23.81,0.382,164406968320,1.76,0.33029902,0.18150841193883505,0.24808161976889817,0.18150841193883505
PLD,26.194513,1.8250686,0.06829,0.023759998,56.643,1.224,97469349888,3.92,-0.026537001,-0.07100302852722218,0.2930724358618401,-0.07100302852722218
