,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
LULU,33616041984,7.8470254,1.301,,-0.12800026726578748,0.020454545454545454,0.3562587251522181,35.653,19.109972,7.8470254,0.42417,0.21314,36.443
LYB,18297303040,1.5058855,0.89,9.64,0.3434713443713352,0.7477272727272727,0.4540997325029208,37.805,19.698961,1.5058855,0.07437,0.03849,103.883
MTB,28435408896,1.0826122,0.572,3.11,0.3709011790442902,0.7886363636363637,0.49640098713269437,163.632,11.849498,1.0826122,0.09405,0.012410001,
MPC,46355521536,2.843708,0.841,2.52,0.5410069387817072,0.9272727272727272,0.509172884087256,53.061,20.783747,2.843708,0.15524,0.03469,139.332
MKTX,8596871168,6.412754,0.889,1.33,-0.1467519884850384,0.013636363636363636,0.3553073391528847,36.036,40.189564,6.412754,0.16254,0.11063,5.259
MMC,111775350784,7.946266,0.846,1.43,0.22356235106888644,0.5522727272727272,0.19622206686915336,28.548,27.800247,7.946266,0.30532,0.07929,157.128
MLM,32665643008,3.5967474,0.886,0.59,0.34916539404858815,0.7545454545454545,0.3697590756410274,150.65,31.105051,3.5967474,0.1187,0.05786,63.926
MAS,13099497472,-51.57807,1.233,2.05,0.12478970861345628,0.35454545454545455,0.2677694663089713,-1.204,16.967213,-51.57807,11.165561,0.16038999,
MA,516371742720,77.566505,1.061,0.54,0.06371452326972103,0.22954545454545455,0.30718519867181715,7.331,39.848633,77.566505,1.8770399,0.23363,280.795
MKC,20418480128,3.7619305,0.738,2.4,-0.039148180162416585,0.07045454545454545,0.2041412966481379,20.221,26.231033,3.7619305,0.14659001,0.05165,79.045
MDT,107066449920,2.1691568,0.83,3.37,0.09995373587902172,0.30227272727272725,0.2596030878109559,38.485,25.451221,2.1691568,0.08442,0.04656,53.627
MRK,190762958848,3.9547114,0.441,4.1,-0.04283181156421892,0.06818181818181818,0.20057726690757174,19.21,11.042151,3.9547114,0.39293,0.13809,71.992
META,1489715462144,8.079005,1.237,0.35,0.1847305292731941,0.45681818181818185,0.36293337288774463,73.337,23.14414,8.079005,0.39835,0.17879999,26.763
MET,52260548608,1.9064995,0.832,2.96,0.42505401915046337,0.8431818181818181,0.36791217143963884,40.834,12.720589,1.9064995,0.15982,0.0062599997,172.754
MGM,8866614272,3.1928656,1.789,,0.5163450268119356,0.9159090909090909,0.5902081313547288,10.204,14.544643,3.1928656,0.2582,0.02345,880.101
MCHP,29757526016,4.9331317,1.407,3.79,0.17394697624120486,0.4409090909090909,0.4235118037479876,11.216,97.07018,4.9331317,-7e-05,0.01598,79.545
