,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
HON,0.8542141230068336,0.7608200455580904,0.5535307517084282,0.4738041002277904,0.3462414578587699,0.3462414578587699,0.36902050113895213,0.4259681093394077,0.5444191343963554,0.7608200455580904,0.7835990888382688,0.6697038724373576,0.8278514159362966
HRL,0.17767653758542146,0.26879271070615035,0.03644646924829157,0.8496583143507972,0.16856492027334852,0.16856492027334852,0.06378132118451024,0.22323462414578588,0.44646924829157175,0.26879271070615035,0.25512528473804097,0.44874715261959,0.21418921682527986
HST,0.06378132118451024,0.14578587699316628,0.816628701594533,0.9440163951985491,0.5056947608200458,0.5056947608200456,0.9453302961275627,0.11161731207289294,0.2072892938496583,0.14578587699316628,0.2733485193621868,0.33712984054669703,0.573526167517351
HWM,0.6970387243735763,0.8815489749430523,0.8405466970387243,0.0138563954885581,0.8633257403189065,0.8633257403189065,0.9316628701594533,0.1662870159453303,0.8952164009111617,0.8815489749430523,0.7289293849658314,0.8359908883826879,0.4790383219624262
HUBB,0.2505694760820045,0.6810933940774487,0.44419134396355353,0.3553530751708428,0.4715261958997722,0.4715261958997722,0.33029612756264237,0.7904328018223227,0.5284738041002278,0.6810933940774487,0.683371298405467,0.8314350797266514,0.37818853549731096
HUM,0.4396355353075171,0.1890660592255125,0.11389521640091116,0.3246013667425968,0.23234624145785876,0.23234624145785876,0.23006833712984054,0.9681093394077451,0.316628701594533,0.1890660592255125,0.27904328018223234,0.4236902050113895,0.5232326683491839
HBAN,0.3234624145785877,0.07517084282460136,0.4054669703872436,0.869020501138952,0.7084282460136674,0.7084282460136674,0.89749430523918,0.18223234624145784,0.0979498861047836,0.07517084282460136,0.296127562642369,0.04100227790432802,
HII,0.03872437357630979,0.23462414578587698,0.02277904328018223,0.54083512792804,0.744874715261959,0.744874715261959,0.530751708428246,0.949886104783599,0.26195899772209563,0.23462414578587698,0.37585421412300685,0.296127562642369,0.4717694047220865
IBM,0.9271070615034168,0.7949886104783599,0.19817767653758542,0.612756264236902,0.4624145785876993,0.46241457858769935,0.3348519362186788,0.4646924829157175,0.8519362186788182,0.7949886104783599,0.642369020501139,0.3940774487471526,0.8862195484802693
IEX,0.1366742596810934,0.5193621867881548,0.5626423690205011,0.35990888382687924,0.4350797266514806,0.43507972665148065,0.1662870159453303,0.7107061503416856,0.6514806378132119,0.5193621867881548,0.38724373576309795,0.6218678815489751,0.3100896538373725
IDXX,0.5353075170842825,0.9612756264236902,0.929384965831435,,0.5193621867881617,0.5193621867881549,0.5170842824601366,0.27790432801822323,0.8747152619589977,0.9612756264236902,0.9225512528473804,0.9908883826879276,0.48399469461041555
ITW,0.7198177676537585,0.9384965831435079,0.642369020501139,0.5740318906605922,0.3234624145785877,0.32346241457858765,0.11617312072892938,0.13895216400911162,0.4533029612756264,0.9384965831435079,0.9612756264236901,0.949886104783599,0.8908800013205812
INCY,0.09339407744874714,0.4646924829157175,0.22323462414578613,,0.11161731207289294,0.11161731207289295,0.6514806378132119,0.3075170842824601,0.990888382687927,0.4646924829157175,0.00683371298405467,0.10933940774487472,0.005089157707796974
IR,0.45785876993166286,0.45785876993166286,0.8701594533029612,0.003767941261030144,0.3439635535307517,0.3439635535307517,0.6605922551252847,0.4145785876993166,0.8154897494305239,0.45785876993166286,0.17312072892938496,0.4920273348519362,0.2799707867186982
PODD,0.3166287015945332,0.9134396355353072,0.7494305239179954,,0.19817767653758542,0.19817767653758542,0.8382687927107061,0.26195899772209563,0.9066059225512528,0.9134396355353072,0.8246013667425968,0.6287015945330297,0.7009551311708602
ICE,0.8041002277904328,0.5261958997722096,0.637813211845103,0.224373576309795,0.20045558086560364,0.20045558086560367,0.06150341685649202,0.6765375854214123,0.7904328018223228,0.5261958997722096,0.29954441913439633,0.11389521640091116,0.4896357930961264
IP,0.3462414578587699,0.04783599088838269,0.47722095671981773,0.8750744432111267,0.6583143507972669,0.6583143507972666,0.5558086560364465,0.621867881548975,0.801822323462417,0.04783599088838269,0.03416856492027335,0.07517084282460136,0.3495308761497623
IPG,0.04100227790432802,0.36902050113895696,0.5854214123006833,0.9365480579900392,0.9179954441913439,0.9179954441913439,0.7061503416856492,0.11617312072892938,0.36218678815489747,0.36902050113895696,0.41913439635535304,0.46697038724373574,0.6702016630646088
INTU,0.8997722095671982,0.826879271070615,0.7369020501138952,0.09339407744874714,0.5854214123006833,0.5854214123006833,0.43735763097949887,0.8154897494305239,0.929384965831435,0.826879271070615,0.530751708428246,0.7448747152619596,
ISRG,0.908883826879271,0.8496583143507973,0.9635535307517084,,0.38724373576309795,0.38724373576309795,0.5034168564920273,0.6719817767653758,0.9476082004555808,0.8496583143507973,0.47835990888382685,0.7835990888382688,
IVZ,0.002277904328018223,0.00683371298405467,0.8826879271070616,0.9644839081200661,0.9544419134396355,0.9544419134396355,0.908883826879271,0.38724373576309795,0.10933940774487472,0.00683371298405467,0.06605922551252848,0.15034168564920272,0.03400031409866054
INVH,0.30979498861047833,0.3166287015945331,0.34851936218678814,0.7448747152619589,0.662870159453303,0.662870159453303,0.2596810933940774,0.23462414578587698,0.8701594533029615,0.3166287015945331,0.06150341685649205,0.1366742596810934,0.5751009628910327
IQV,0.375854214123007,0.5831435079726651,0.8314350797266514,,0.8246013667425968,0.8246013667425968,0.25512528473804097,0.5398633257403189,0.40774487471526194,0.5831435079726651,0.6400911161731206,0.48747152619589973,0.8794248935567324
JBHT,0.12528473804100226,0.5079726651480637,0.8246013667425968,0.28815489749430523,0.6446469248291572,0.6446469248291572,0.3462414578587699,0.592255125284738,0.5466970387243736,0.5079726651480637,0.43735763097949887,0.5603644646924829,0.30536954790736726
JBL,0.1958997722095672,0.8678815489749431,0.6173120728929384,0.011224853857342811,0.8542141230068339,0.8542141230068337,0.7129840546697038,0.1776765375854214,0.7585421412300684,0.8678815489749431,0.6560364464692483,0.40774487471526194,0.8772686653992093
