,MarketCap,Momentum_6m,Volatility,Return_6m
KMI,59725946880,0.10651625566045664,0.2530296234292983,0.10651625566045664
KKR,104509259776,-0.18728810775456994,0.4683232970518443,-0.18728810775456994
KLAC,92304637952,0.04183148652698909,0.4892915253710506,0.04183148652698909
KHC,35372367872,-0.15120767430536153,0.23264543137644053,-0.15120767430536153
KR,47154728960,0.2533414894658985,0.23202406527965555,0.2533414894658985
LHX,40430727168,-0.10876686250986678,0.21752576767381362,-0.10876686250986678
LH,19124959232,0.04144611303700518,0.23775826360963775,0.04144611303700518
LRCX,91629002752,-0.015677801515878276,0.5205557363192865,-0.015677801515878276
LW,7422692864,-0.32051557292490085,0.4962714559895193,-0.32051557292490085
LVS,25869619200,-0.2996893454071913,0.3632394853063503,-0.2996893454071913
LDOS,18682062848,-0.12543892900635567,0.30375451433487377,-0.12543892900635567
LEN,28626671616,-0.3540855035240493,0.3256777862452072,-0.3540855035240493
LII,18711490560,-0.11116050567504787,0.3385632825100604,-0.11116050567504787
LLY,794307133440,-0.023778367564144864,0.3635931839929816,-0.023778367564144864
LIN,212587790336,-0.06367825063256582,0.19014594325384318,-0.06367825063256582
LYV,30682560512,0.14764863551695506,0.311681151747731,0.14764863551695506
LKQ,9657316352,0.013070592999375963,0.29795146499258063,0.013070592999375963
LMT,111909142528,-0.16083097063100238,0.23010710009209345,-0.16083097063100238
L,18139914240,0.0567425823850094,0.2146527686623727,0.0567425823850094
LOW,124282642432,-0.1771642525322381,0.2434589329173869,-0.1771642525322381
LULU,32649240576,-0.10365367532189063,0.4357530807509243,-0.10365367532189063
LYB,19189430272,-0.3132137073417429,0.3011064581343647,-0.3132137073417429
MTB,27497324544,-0.1259962641959954,0.2948861858853093,-0.1259962641959954
MPC,42848022528,-0.12141263514816492,0.3686280221073571,-0.12141263514816492
MKTX,8147106816,-0.2403607470094239,0.29841308662993904,-0.2403607470094239
MAR,65059639296,-0.10635765476833348,0.2783377922157677,-0.10635765476833348
MMC,108025692160,-0.004704411033895295,0.17394937161796087,-0.004704411033895295
MLM,30860681216,-0.0980794884397832,0.2578891992332022,-0.0980794884397832
MAS,12745115648,-0.25928707630913417,0.28150180708336886,-0.25928707630913417
MA,488183234560,0.043065771347869264,0.2107155617171428,0.043065771347869264
MTCH,7560469504,-0.19413228499693247,0.3992330197405946,-0.19413228499693247
MKC,20117676032,-0.04359888330379813,0.21747997316502607,-0.04359888330379813
MCD,226491891712,0.01841538730245329,0.2017747462837793,0.01841538730245329
MCK,87101571072,0.37828649960380045,0.2741885902339649,0.37828649960380045
MDT,108118671360,-0.06100406582544493,0.21409033461688273,-0.06100406582544493
MRK,208206086144,-0.21115130596250897,0.2584689099055023,-0.21115130596250897
META,1345912176640,-0.05809393080327674,0.36028378290186985,-0.05809393080327674
MET,51677937664,-0.10087251449781243,0.29325893436752565,-0.10087251449781243
MTD,22403981312,-0.21452454093822693,0.36371659079885393,-0.21452454093822693
MGM,9043400704,-0.21841066834869838,0.4346937503463307,-0.21841066834869838
MCHP,25342029824,-0.36938372873787395,0.5714028644083422,-0.36938372873787395
MU,89159737344,-0.25813705132555487,0.6356394551756488,-0.25813705132555487
MSFT,2913004945408,-0.07973704276459437,0.24873623661600155,-0.07973704276459437
MAA,19131498496,0.05610844831916517,0.21050082882828583,0.05610844831916517
MRNA,10589586432,-0.4902621997086829,0.6948457011765263,-0.4902621997086829
MHK,6820454400,-0.3011834966006214,0.4201962597150915,-0.3011834966006214
MOH,17046443008,0.10758564315346453,0.4462631758736772,0.10758564315346453
TAP,11832177664,0.03179793423919475,0.2760092739114113,0.03179793423919475
MDLZ,84974460928,-0.06694125493349912,0.20725637925062826,-0.06694125493349912
MPWR,27940339712,-0.3310876944819534,0.663271312307509,-0.3310876944819534
MNST,57095233536,0.0945895492379929,0.2551976094852853,0.0945895492379929
MCO,79097217024,-0.05879987767351791,0.26174884929376513,-0.05879987767351791
MS,186428080128,-0.005195720271009341,0.3386283041539178,-0.005195720271009341
MOS,9240909824,0.12068490703035373,0.37816642268133543,0.12068490703035373
MSI,71831248896,-0.08044106895826564,0.21843359012667093,-0.08044106895826564
MSCI,41421606912,-0.10861065591471608,0.25199658460785146,-0.10861065591471608
NDAQ,43342929920,0.02080217041682686,0.2396804179705092,0.02080217041682686
NTAP,18254045184,-0.253291725439427,0.3756396552608098,-0.253291725439427
NFLX,468779237376,0.44134047337546534,0.32610209724450995,0.44134047337546534
NEM,61993779200,-0.06981581427585892,0.36419519848180676,-0.06981581427585892
NWSA,15984263168,0.04293672832932027,0.2381480777623173,0.04293672832932027
NWS,15984263168,0.12502184973538455,0.2430053363658782,0.12502184973538455
NEE,136590180352,-0.19855278632855666,0.28465122397280923,-0.19855278632855666
NKE,86315909120,-0.2850992785080204,0.3995851128424423,-0.2850992785080204
NI,18673618944,0.15186935744092422,0.18629685249221214,0.15186935744092422
NDSN,10781937664,-0.24481914563671225,0.2921624930713154,-0.24481914563671225
NSC,51103490048,-0.13944340120700727,0.292687870970026,-0.13944340120700727
NTRS,17975361536,-0.029705052541514343,0.2795592868814407,-0.029705052541514343
NOC,68106731520,-0.08241301343695451,0.25355725336600543,-0.08241301343695451
NCLH,7638110720,-0.27968229568225544,0.5373480033738017,-0.27968229568225544
NRG,22063247360,0.2812491625066085,0.49503303981801294,0.2812491625066085
NUE,26678089728,-0.20011833963792502,0.39249817013702387,-0.20011833963792502
NVDA,2708644036608,-0.22677166835604234,0.5993342162610329,-0.22677166835604234
NVR,21044828160,-0.25077792044797287,0.2581602582472427,-0.25077792044797287
NXPI,49093185536,-0.15606367040550617,0.4657448519636944,-0.15606367040550617
ORLY,77091905536,0.11748991566436007,0.20526671382215161,0.11748991566436007
OXY,39629967360,-0.21784827273778373,0.3254899389786674,-0.21784827273778373
ODFL,33710141440,-0.2625897986949567,0.3699513371468287,-0.2625897986949567
OMC,14955829248,-0.2463147770108337,0.2816855778259754,-0.2463147770108337
ON,16865101824,-0.40441838709281663,0.5683747012126177,-0.40441838709281663
OKE,53911126016,-0.09484113026521335,0.30128945191703776,-0.09484113026521335
ORCL,388357816320,-0.20524148893123006,0.4229627146154172,-0.20524148893123006
OTIS,36690624512,-0.09025297802434995,0.2230500746918905,-0.09025297802434995
PCAR,48650977280,-0.09278659420030588,0.3082661380481328,-0.09278659420030588
PKG,16970338304,-0.1366244355741385,0.24278857415506633,-0.1366244355741385
PLTR,253636575232,1.6264555748995044,0.7257523419690963,1.6264555748995044
PANW,118502645760,-0.04823189139604733,0.36460109596793105,-0.04823189139604733
PARA,8116385792,0.1522023683116236,0.39764787784103295,0.1522023683116236
PH,77004046336,-0.04517450096813147,0.34991972549657174,-0.04517450096813147
PAYX,51943124992,0.02666454305364696,0.22854717036113087,0.02666454305364696
PAYC,12777783296,0.37243511363217086,0.4260588287858799,0.37243511363217086
PYPL,63862984704,-0.19243612185757786,0.37576846669694514,-0.19243612185757786
PNR,14837040128,-0.07957261011303807,0.3087653148905555,-0.07957261011303807
PEP,185520914432,-0.2217409862028329,0.19591275862154656,-0.2217409862028329
